Loading base network...
Initializing weights...
Loading Dataset...
Training SSD_mobilenet ssd_new_mobilenet_FFA on Oxford hand dataset with multibox loss
Data augmentaion: v2
Timer: 3.3360 sec.
iter 5200 || lr: 0.001000  || loc_loss: 6.4243  || cls_loss: 2.1708  Timer: 0.0727 sec.
iter 5300 || lr: 0.001000  || loc_loss: 6.1713  || cls_loss: 2.0641  Timer: 0.0677 sec.
iter 5400 || lr: 0.001000  || loc_loss: 7.4503  || cls_loss: 2.2661  Timer: 0.0819 sec.
iter 5500 || lr: 0.001000  || loc_loss: 7.0919  || cls_loss: 2.3150  Timer: 0.0716 sec.
iter 5600 || lr: 0.001000  || loc_loss: 4.5202  || cls_loss: 2.1131  Timer: 0.0641 sec.
iter 5700 || lr: 0.001000  || loc_loss: 7.1249  || cls_loss: 2.1966  Timer: 0.0812 sec.
iter 5800 || lr: 0.001000  || loc_loss: 5.0012  || cls_loss: 2.1603  Timer: 0.0887 sec.
iter 5900 || lr: 0.001000  || loc_loss: 6.0662  || cls_loss: 1.9975  Timer: 0.0663 sec.
iter 6000 || lr: 0.001000  || loc_loss: 6.5972  || cls_loss: 2.2578  Timer: 0.0758 sec.
iter 6100 || lr: 0.001000  || loc_loss: 6.6567  || cls_loss: 2.2156  Timer: 0.0729 sec.
iter 6200 || lr: 0.001000  || loc_loss: 5.4224  || cls_loss: 2.0495  Timer: 0.0655 sec.
iter 6300 || lr: 0.001000  || loc_loss: 5.7875  || cls_loss: 2.0232  Timer: 0.0748 sec.
iter 6400 || lr: 0.001000  || loc_loss: 5.3232  || cls_loss: 2.1523  Timer: 0.0813 sec.
iter 6500 || lr: 0.001000  || loc_loss: 6.7965  || cls_loss: 2.2648  Timer: 0.0702 sec.
iter 6600 || lr: 0.001000  || loc_loss: 6.5122  || cls_loss: 2.3165  Timer: 0.0699 sec.
iter 6700 || lr: 0.001000  || loc_loss: 6.2015  || cls_loss: 2.2628  Timer: 0.0742 sec.
iter 6800 || lr: 0.001000  || loc_loss: 4.7678  || cls_loss: 2.1292  Timer: 0.0682 sec.
iter 6900 || lr: 0.001000  || loc_loss: 5.1790  || cls_loss: 2.0631  Timer: 0.0742 sec.
iter 7000 || lr: 0.001000  || loc_loss: 6.9133  || cls_loss: 2.2012  Timer: 0.0615 sec.
iter 7100 || lr: 0.001000  || loc_loss: 5.9424  || cls_loss: 1.9991  Timer: 0.0738 sec.
iter 7200 || lr: 0.001000  || loc_loss: 4.7652  || cls_loss: 2.1438  Timer: 0.0725 sec.
iter 7300 || lr: 0.001000  || loc_loss: 5.2650  || cls_loss: 2.2537  Timer: 0.0687 sec.
iter 7400 || lr: 0.001000  || loc_loss: 6.9111  || cls_loss: 2.4163  Timer: 0.0741 sec.
iter 7500 || lr: 0.001000  || loc_loss: 6.3703  || cls_loss: 2.1410  Timer: 0.0737 sec.
iter 7600 || lr: 0.001000  || loc_loss: 7.6732  || cls_loss: 2.5073  Timer: 0.0705 sec.
iter 7700 || lr: 0.001000  || loc_loss: 4.8712  || cls_loss: 2.0721  Timer: 0.0771 sec.
